"id","name_portuguese","name_bororo","scientific_name","category","classification_bororo","created_at","info","pic_link"
1,Onça pintada,Adugo,Panthera onca,Feilídeo,Barege boemoriae,2025-05-26 21:12:57.537 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG/560px-Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG
2,Onça parda,Aigo,Puma concolor,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.721 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mountain_Lion_in_Glacier_National_Park.jpg/560px-Mountain_Lion_in_Glacier_National_Park.jpg
3,Gato mourisco / Jaguarundi,Aimearewy,Herpailurus yagouaroundi,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.742 +0200,,https://upload.wikimedia.org/wikipedia/commons/7/75/Herpailurus_yagouaroundi_310267736.jpg
4,Barege boemoriae,Aipoburewy,Leopardus pardalis,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.758 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg/560px-Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg
5,Mão-pelada,Ierarae,Procionídeos,,Barege boemoriae,2025-05-26 21:15:33.773 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Crab-eating_raccoon_%28Procyon_cancrivorus%29_Manuel_Antonio_Park_CRI_01_2020_CRI_01_2020_1752.jpg/560px-Crab-eating_raccoon_%28Procyon_cancrivorus%29_Manuel_Antonio_Park_CRI_01_2020_CRI_01_2020_1752.jpg
6,Irara / Papa mel,Ipocerewy,Eira barbara,Mustelídeos,Barege boemoriae,2025-05-26 21:15:33.937 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Irara_%28Papa-mel%29.jpg/560px-Irara_%28Papa-mel%29.jpg
7,Graxaim-do-mato / Cachorro-do-mato / Lobinho,Okwa,Cerdocyon thous,Canídeos,Barege boemoriae,2025-05-26 21:24:02.283 +0200,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Cerdocyon_thous_-_Jan_Ebr_and_Ivana_Ebrov%C3%A1_-_284951055.jpeg
8,Lobo Guará,Rie,Chrysocyon brachyurus / Canis jubatus,Canídeos,Barege boemoriae,2025-05-26 21:24:02.304 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Chrysocyon_brachyurus_205682420.jpg/560px-Chrysocyon_brachyurus_205682420.jpg
9,Cariacu / Veado Galheiro,Atubo,Odocoileus virginianus,,Barege Kurirewyge,2025-05-26 21:24:02.323 +0200,,https://upload.wikimedia.org/wikipedia/commons/c/cb/White-tailed_deer_%28Odocoileus_virginianus%29_grazing_-_20050809.jpg
10,Anta,Ki,Tapirus terrestris,Tapirídeos,Barege Kurirewyge,2025-05-26 21:24:02.477 +0200,,https://upload.wikimedia.org/wikipedia/commons/8/86/Lowland_Tapir_%28Tapirus_terrestris%29_male_out_of_the_forest_..._-_Flickr_-_berniedup.jpg
11,Veado-mão-curta  / Veado Bororó,Pobogo,Mazama nana,Cervídeos,Barege Kurirewyge,2025-05-26 21:24:02.492 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Mazama_nana_2.jpg/560px-Mazama_nana_2.jpg
12,Tamanduá-bandeira,Buke,Myrmecophaga tridactyla,Mirmecofagídeos,Barege Kurirewyge,2025-05-26 21:24:02.509 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Myresluger2.jpg/560px-Myresluger2.jpg
13,Caititu,Jui,Dicotyles tajacu,Taiaçuídeos,Barege Kurirewyge,2025-05-26 21:26:59.349 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tayassu_tajacu.jpg/560px-Tayassu_tajacu.jpg
14,Queixada,Jugo,Tayassu pecari,Taiaçuídeos,Barege Kurirewyge,2025-05-26 21:26:59.369 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Tayassu_pecari_-Brazil-8.jpg/560px-Tayassu_pecari_-Brazil-8.jpg
15,Tatupeba,Bakodorirewy,Euphractus sexcinctus,Clamiforídeos,Barege Borewyge,2025-05-26 21:26:59.384 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Six-banded_armadillo_%28Euphractus_sexcinctus%29.JPG/560px-Six-banded_armadillo_%28Euphractus_sexcinctus%29.JPG
16,Tatu-canastra,Bokodori,Priodontes maximus,Clamiforídeos,Barege Borewyge,2025-05-26 21:26:59.401 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Priodontes_maximus_at_Régina.jpg/440px-Priodontes_maximus_at_Régina.jpg
17,Tatu-bola,Enokuri,Tolypeutes matacus,Clamiforídeos,Barege Borewyge,2025-05-26 21:26:59.416 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Southern_Three_Banded_Armadillo_001-2.jpg/560px-Southern_Three_Banded_Armadillo_001-2.jpg
18,Jabuti,Jerigigi,Chelonoidis carbonarius,Testudinidae,Barege Borewyge,2025-05-26 21:26:59.433 +0200,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Chelonoidis_carbonarius_386013561.jpg
19,Tatu-liso,Jerego,Dasypus novemcinctus,Dasipodídeos,Barege Borewyge,2025-05-26 21:30:13.852 +0200,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Nine-banded_armadillo_%2813578%29.jpg
20,Tatu-galinha,Reá,Dasypus novemcinctus,,Barege Borewyge,2025-05-26 21:30:13.871 +0200,,
21,Quati,Kudobo,Nasua narica,Procyonidae,Barege Akururewyge,2025-05-26 21:30:13.889 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Coati.jpg/560px-Coati.jpg
22,Bugio preto / Guariba-preto,Pai Corewy,Alouatta caraya,Atelidae,Barege Akururewyge,2025-05-26 21:30:13.908 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Alouatta_caraya_male.JPG/560px-Alouatta_caraya_male.JPG
23,Macaco,Juko,,Cebídeos,Barege Akururewyge,2025-05-26 21:30:13.924 +0200,,
24,Tamanduá-mirim / Mixila,Apogo,Tamandua tetradactyla,Myrmecophagidae,Barege Akururewyge,2025-05-26 21:30:13.942 +0200,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Southern_Tamandua_%28Tamandua_tetradactyla%29_-_Flickr_-_berniedup.jpg
25,Gambá,Aka,Didelphis marsupialis,Didelfiídeos,Barege Akururewyge,2025-05-26 21:32:35.565 +0200,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Didelphis_albiventris%2C_Bahia%2C_Brazil.jpg
26,Serelepe / Caxinguelê,Kodokodo,,Sciuridae,Barege Akururewyge,2025-05-26 21:32:35.585 +0200,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Esquilo-1.jpg
27,Ouriço,Iwe,Coendou prehensilis,Erinaceidae,Barege Akururewyge,2025-05-26 21:32:09.907 +0200,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Prehensile_Tail_Porcupine_Curled_and_Relaxed_%2818144690005%29.jpg
28,Iguana / Sinimbu,Irui,Iguana iguana,Iguanidae,Barege pobo tadawyge,2025-05-26 21:32:36.288 +0200,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Iguana_V.jpg
29,Capivara,Akiwa,Hydrochoerus hydrochaeris,Caviidae,Barege pobo tadawyge,2025-05-26 21:32:36.304 +0200,,https://upload.wikimedia.org/wikipedia/commons/9/99/Capivara%28Hydrochoerus_hydrochaeris%29.jpg
30,,Atomoio,,,Barege pobo tadawyge,2025-05-26 21:32:36.320 +0200,,
31,Jacaré,Uwai,Caiman yacare,Alligatoridae,Barege pobo tadawyge,2025-05-26 21:32:36.337 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Caiman_yacare.jpg/440px-Caiman_yacare.jpg
32,Lambari,Meto,,Astyanax (gen.),,2025-05-26 21:36:47.392 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Astyanax_mexicanus.JPG/960px-Astyanax_mexicanus.JPG
33,,Baigabe,,,Barege pobo tadawyge,2025-05-26 21:36:47.411 +0200,,
34,Boto,Jakorewy,Sotalia fluviatilis,Delphinidae,Barege pobo tadawyge,2025-05-26 21:36:47.429 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/DELFIN_DEL_ORINOCO2.JPG/560px-DELFIN_DEL_ORINOCO2.JPG
35,Paca,Apu,Cuniculus paca,Cuniculidae,Barege kugure,2025-05-26 21:36:47.445 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Cuniculus_paca.jpg/560px-Cuniculus_paca.jpg
36,Teiú,Tuwogy,Salvator merianae,Teiidae,Barege kugure,2025-05-26 21:39:06.504 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Trilha_Betari%2C_por_Leonardo_Palermo_Gentile_03.jpg/560px-Trilha_Betari%2C_por_Leonardo_Palermo_Gentile_03.jpg
37,Lebre / Tapiti,Amo,Sylvilagus brasiliensis,,Barege kugure,2025-05-26 21:39:06.528 +0200,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sylvilagus_brasiliensis_284953755.jpg
38,Cutía,Mea,Dasyprocta punctata,Dasyproctidae,Barege kugure,2025-05-26 21:39:06.544 +0200,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Central_American_agouti_%28Dasyprocta_punctata%29.jpg
39,Preá,Kurugo,Cavia aperea,Caviidae,Barege kugure,2025-05-26 21:39:06.560 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wildmeerschweinchen-06.jpg/560px-Wildmeerschweinchen-06.jpg
40,Coruja do campo / Coruja-buraqueira,Tagogo,Athene cunicularia,Strigidae,Kiege Boemoriae,2025-05-26 21:39:37.255 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Athene_cunicularia_1_edited.JPG/560px-Athene_cunicularia_1_edited.JPG
41,Acauã,Makao,Herpetotheres cachinnans,Falconidae,Kiege Boemoriae,2025-05-26 21:39:37.272 +0200,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Laughing_Falcon_-_Dari%C3%A9n_-_Panama_%2848444308217%29.jpg
42,Gavião real / Harpia,Aroeeceba,Harpia harpyja,Accipitridae,Kiege Boemoriae,2025-05-26 21:39:37.290 +0200,,https://upload.wikimedia.org/wikipedia/commons/9/95/Harpia-harpyja-001.jpg
43,Murucututu-de-barriga-amarela,Kugu,Pulsatrix koeniswaldiana,Strigidae,Kiege Boemoriae,2025-05-26 21:39:37.307 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Pulsatrix_koeniswaldiana_-_Tawny-browed_Owl_%28young%29.jpg/560px-Pulsatrix_koeniswaldiana_-_Tawny-browed_Owl_%28young%29.jpg
44,Gavião carcaraí / Carrapateiro,Kuruguga,Milvago chimachima,Falconidae,Kiege Boemoriae,2025-05-26 21:41:27.016 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Milvago_chimachima.jpg/560px-Milvago_chimachima.jpg
45,Pinhé,Pia,,,Kiege buregi toiburewyge,2025-05-26 21:41:27.031 +0200,,
46,Gavião-do-pé-amarelo / Gavião-carijó,Kuruga bure paru ekurewy,Rupornis magnirostris,Accipitridae,Kiege buregi toiburewyge,2025-05-26 21:41:27.048 +0200,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Taguato_%28Rupornis_magnirostris%29%2C_Uruguay%2C_2020.jpg
47,Gavião Caracará / Pinhé,Kaga,Caracara plancus,Falconidae,Kiege buregi toiburewyge,2025-05-26 21:41:27.064 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Schopfkarakara.jpg/560px-Schopfkarakara.jpg
48,Gavião Claro,Torowa,,,Kiege buregi toiburewyge,2025-05-26 21:41:27.079 +0200,,
49,Gavião ximango,Kuruga bewerewy,Milvago chimango,Falconidae,Kiege buregi toiburewyge,2025-05-26 21:45:10.232 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Milvago_chimango_temucoensis.jpg/560px-Milvago_chimango_temucoensis.jpg
50,Coruja preta,Kugu corewy,Strix huhula,Strigidae,Kiege buregi toiburewyge,2025-05-26 21:45:10.247 +0200,,https://upload.wikimedia.org/wikipedia/commons/a/ac/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Serra_Dona_Francisca_-_Luiz_Alves_%2807%29.jpg
51,Corujão / Mocho,Kaikai,Bubo virginianus,Strigidae,Kiege buregi toiburewyge,2025-05-26 21:45:10.263 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Bubo_virginianus_06.jpg/560px-Bubo_virginianus_06.jpg
52,Urubu rei,Bai,Sarcoramphus papa,Sarcosamphidae,Kiege buregi toiburewyge,2025-05-26 21:46:21.782 +0200,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Urubu_rei_-_Sarcoramphus_papa.jpg
53,,Kuruga je paru kujagurewy,,,Kiege buregi toiburewyge,2025-05-26 21:46:44.101 +0200,,
54,Urubu cabeça preta,Poburewy,Coragyps atratus,Cathartidae,Kiege buregi toiburewyge,2025-05-26 21:47:09.380 +0200,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Black_vulture_%28Coragyps_atratus_brasiliensis%29_Peten.jpg
55,Urubu da cabeça vermelha,Ciwaje,Cathartes aura,Cathartidae,Kiege buregi toiburewyge,2025-05-26 21:49:49.151 +0200,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Turkey_vultures_%2801731%29.jpg
56,Arara-azul-grande,Kudoro,Anodorhynchus hyacinthinus,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:49:49.214 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Arara_Azul_no_Pantanal.jpg/560px-Arara_Azul_no_Pantanal.jpg
57,Araracanga (arara vermelha),Nabure,Ara macao,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:49:49.231 +0200,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Ara_macao_-Fort_Worth_Zoo-8.jpg
58,Arara-canindé,Kuido,Ara ararauna,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:49:49.245 +0200,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ara_ararauna_Luc_Viatour.jpg
59,Curica (papagaio),Korao,Amazona amazonica,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:49:49.262 +0200,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Amazona_amazonica_%281%29.jpg
60,Periquito-verde,Kido,Brotogeris tirica,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:50:36.269 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/PERIQUITO-RICO_%28_Brotogeris_tirica%29_%282087239475%29.jpg/560px-PERIQUITO-RICO_%28_Brotogeris_tirica%29_%282087239475%29.jpg
61,Jandaia-coquinho (periquito-rei / periquito-estrela),Ore,Eupsittula aurea,Psittacidae,Kiege oto toiborewyge,2025-05-26 21:51:24.495 +0200,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peach-fronted_Parakeet_%28Aratinga_aurea%29_%2830809763703%29.jpg
62,Garça real,Bace agarewy,Ardea alba,Ardeidae,Kiege pobo pobo tadawyge,2025-05-26 21:51:24.510 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Silberreiher_01_CH.jpg/2880px-Silberreiher_01_CH.jpg
63,Garça-branca-pequena,Bace kuorewy,Egretta thula,Ardeidae,Kiege pobo pobo tadawyge,2025-05-26 21:52:42.444 +0200,,https://upload.wikimedia.org/wikipedia/commons/d/df/Snowy_egret_in_JBWR_%2830217%29.jpg
64,Garça-azul,Bace kaworyrewy,Egretta caerulea,Ardeidae,Kiege pobo pobo tadawyge,2025-05-26 21:52:42.461 +0200,,https://upload.wikimedia.org/wikipedia/commons/7/77/Egretta_caerulea_-Cananeia%2C_Sao_Paulo%2C_Brasil-8.jpg
65,Aiaiá (colhereiro-americano),Bace ao kororogodyrewy,Platalea ajaja,Threskiornithidae,Kiege pobo pobo tadawyge,2025-05-26 21:52:42.616 +0200,,https://upload.wikimedia.org/wikipedia/commons/c/c7/2019-02-15_074_Roseate_spoonbill_%28Platalea_ajaja%29_at_Sian_Ka%27an_Biosphere_Reserve%2C_Mexico.jpg
66,Cabeça-seca,Bace auragodyrewy,Cabeça-seca,Ciconiidae,Kiege pobo pobo tadawyge,2025-05-26 21:53:46.824 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/WoodStorkWhole.JPG/560px-WoodStorkWhole.JPG
67,Jaburu (Tuiuiu),Bace kogyio,Jabiru mycteria,Ciconiidae,Kiege pobo pobo tadawyge,2025-05-26 21:53:46.842 +0200,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Jabiru_Mato_Grosso_Pantanal_Brazil-3.jpg
68,Maguari,Bace mikurewy,Ciconia maguari,Ciconiidae,Kiege pobo pobo tadawyge,2025-05-26 21:53:46.858 +0200,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Ciconia_maguari.jpeg
69,Cegonha (?),Parira,,Ciconiidae,Kiege pobo pobo tadawyge,2025-05-26 21:54:48.132 +0200,,https://upload.wikimedia.org/wikipedia/commons/4/40/Cegonha-branca%2C_White_Stork_%2850904788362%29.jpg
70,Martim Pescador,Kadagare,,Alcedinidae,Kiege pobo pobo tadawyge,2025-05-26 21:54:48.153 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Megaceryle_torquata-Ringed_Kingfisher.jpg/480px-Megaceryle_torquata-Ringed_Kingfisher.jpg
71,Anhuma,Tamigi,Anhima cornuta,Anhimidae,Kiege pobo pobo tadawyge,2025-05-26 21:54:48.172 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Anhima_cornuta_-near_Manu_Wildlife_Center%2C_Manu_National_Park%2C_Peru_-three-8.jpg/560px-Anhima_cornuta_-near_Manu_Wildlife_Center%2C_Manu_National_Park%2C_Peru_-three-8.jpg
72,Carão,Karao,Aramus guarauna,Aramidae,Kiege pobo pobo tadawyge,2025-05-26 21:55:46.450 +0200,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Aramus_guarauna_%28Limpkin%29_25.jpg
73,Jaçanã,Pegepege,Jacana jacana,Jacanidae,Kiege pobo pobo tadawyge,2025-05-26 21:55:46.470 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Acana_jacana_-near_Yarina_Lodge%2C_Napo_Province%2C_Ecuador_-adult-8_cropped.jpg/560px-Acana_jacana_-near_Yarina_Lodge%2C_Napo_Province%2C_Ecuador_-adult-8_cropped.jpg
74,Saracura,Kuocaga,,Rallidae,Kiege pobo pobo tadawyge,2025-05-26 21:55:46.637 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Gallinula_galeata_NBII.jpg/560px-Gallinula_galeata_NBII.jpg
75,Socó-dorminhoco,Kudo,Nycticorax nycticorax,Ardeidae,Kiege pobo pobo tadawyge,2025-05-26 21:55:46.652 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Nycticorax_nycticorax12.jpg/440px-Nycticorax_nycticorax12.jpg
76,,Merire,,Anatidae,Kiege pobo pobo tadawyge,2025-05-26 21:57:26.607 +0200,Amazonetta brasiliensis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Amazonetta_brasiliensis.jpg/560px-Amazonetta_brasiliensis.jpg
77,Garça-da-mata,O kaworurewy,,,Kiege pobo pobo tadawyge,2025-05-26 21:57:26.772 +0200,,https://upload.wikimedia.org/wikipedia/commons/0/09/Agami_heron_%28Agamia_agami%29_juvenile.jpg
78,Picaparra (ipequi),Bure puduga,Heliornis fulica,Heliornithidae,Kiege pobo pobo tadawyge,2025-05-26 21:57:26.788 +0200,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sungrebe2.jpeg
79,Socó-boi,Cu,Tigrisoma lineatum,Ardeidae,Kiege pobo pobo tadawyge,2025-05-26 22:00:05.105 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Soco_boi.jpg/560px-Soco_boi.jpg
80,Marreca-cabocla,Parabara,Dendrocygna autumnalis,Anatidae,Kiege pobo pobo tadawyge,2025-05-26 22:00:05.121 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Whistling_duck_flight02_-_natures_pics-edit1.jpg/560px-Whistling_duck_flight02_-_natures_pics-edit1.jpg
81,Pato-do-mato,Turubare corewy,Cairina moschata,Anatidae,Kiege pobo pobo tadawyge,2025-05-26 22:00:05.138 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Flickr_-_Dario_Sanches_-_PATO-DO-MATO_%28Cairina_moschata%29.jpg/560px-Flickr_-_Dario_Sanches_-_PATO-DO-MATO_%28Cairina_moschata%29.jpg
82,Gaivota do pantanal (?),Tawie,,Laridae,Kiege kugary kejewyge,2025-05-26 22:00:05.155 +0200,,
83,Mexeriqueira,Ra porepore,Vanellus cayanus,Charadriidae,Kiege kugary kejewyge,2025-05-26 22:00:38.925 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/BK3U7978.jpg/560px-BK3U7978.jpg
84,,Tano,,,Kiege kugary kejewyge,2025-05-26 22:00:38.944 +0200,,
85,,Kugarure,,,Kiege kugary kejewyge,2025-05-26 22:00:38.961 +0200,,
86,,Tawie baragadyxrewy,,,Kiege kugary kejewyge,2025-05-26 22:00:38.977 +0200,,
87,Siriema,Beo,,,Kiege moto kejewyge,2025-05-26 22:03:14.041 +0200,,https://upload.wikimedia.org/wikipedia/commons/0/02/Seriema_%28Cariama_cristata%29.jpg
88,,Parigogo,,,Kiege moto kejewyge,2025-05-26 22:03:14.059 +0200,,
89,,Monoko,,,Kiege moto kejewyge,2025-05-26 22:03:14.076 +0200,,
90,Inhmabu-Xororó,Riwodo,Crypturellus parvirostris,Tinamidae,Kiege moto kejewyge,2025-05-26 22:03:14.092 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Crypturellus_parvirostris_2.jpg/560px-Crypturellus_parvirostris_2.jpg
91,Perdiz,Parikiogodo,Rhynchotus rufescens,Tinamidae,Kiege moto kejewyge,2025-05-26 22:03:14.107 +0200,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Rhynchotus_rufescens_-Parque_das_Aves-8a.jpg
92,Ema,Pari,Rhea americana,Rheidae,Kiege moto kejewyge,2025-05-26 22:03:14.123 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Nandu_Rhea_americana_Tierpark_Hellabrunn-1.jpg/560px-Nandu_Rhea_americana_Tierpark_Hellabrunn-1.jpg
93,João-Bobo,Jokorogo,Nystalus chacuru,,Kiege moto kejewyge,2025-05-26 22:03:14.141 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Nystalus_chacuru_White-eared_Puffbird.JPG/960px-Nystalus_chacuru_White-eared_Puffbird.JPG
94,Mamangaba,Penogogo,Bombus,,,2025-05-26 22:05:03.264 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Bumblebee_October_2007-3a.jpg/960px-Bumblebee_October_2007-3a.jpg
95,Abelha benjoí,Gigo,,,,2025-05-26 22:05:03.417 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Benjoi_pito.jpg/560px-Benjoi_pito.jpg
96,Periquito-d'asa-azul / tuim-de-asa-azul / periquito vassourinha,Kidoe etumana,Forpus xanthopterygius,,,2025-05-26 22:05:03.433 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Forpus_xanthopterygius_-Brazil-6-4c.jpg/560px-Forpus_xanthopterygius_-Brazil-6-4c.jpg
97,Abelha borá,Kidoguroe,Tetragona clavipes,,,2025-05-26 22:05:03.449 +0200,,https://static.inaturalist.org/photos/189028522/large.jpg
